"Distance","#","","PID","Status","Address","Zip","County/City","Prop Type","Type","# Bedrooms","Fin SF","Total Baths","Year Built","List Price","Sales Price","Days On Market","Sales Date","New/Resale","Sold Terms","Owned By"
"3.0 mi","501","2203308","7788-65-4841","CLOSD","11206 Winding Brook Terrace DR Unit#FF","23005","Hanover","Residential","Townhouse","3","1,741","2.2","2022","$359,990","$359,990","19","03/28/2022","New (never occupied)","Conventional","Corporate"
"3.2 mi","501","2031494","7778-64-8275","CLOSD","11456 Haltonshire WAY","23059","Hanover","Residential","Single Family Residence","5","2,717","2.1","2010","$360,000","$362,000","39","01/05/2021","Resale (occupied at least once)","Conventional","Individuals"
"1.5 mi","501","1741774","7880-83-8068","CLOSD","10788 Providence Woods LN","23005","Hanover","Residential","Single Family Residence","3","2,746","2.1","2017","$360,625","$372,940","0","04/26/2018","New (never occupied)","VA New","Corporate"
"0.8 mi","501","1816793","7880-93-0685","CLOSD","13649 Hewlett Trail DR","23005","Hanover","Residential","Single Family Residence","3","2,122","2.1","2018","$360,745","$360,745","0","09/27/2018","New (never occupied)","Conventional","Corporate"
"1.6 mi","501","1719839","7880-83-8305","CLOSD","10821 Parmele PL","23005","Hanover","Residential","Single Family Residence","4","2,775","3.1","2017","$361,500","$384,910","0","10/24/2017","New (never occupied)","FHA New","Corporate"
"1.5 mi","501","1806356","7880-82-8950","CLOSD","10793 Providence Woods LN","23005","Hanover","Residential","Single Family Residence","3","2,369","2.1","2018","$361,950","$355,000","57","06/08/2018","New (never occupied)","Conventional","Corporate"
"1.8 mi","501","1820157","7870-69-9267","CLOSD","11272 Ashland Park DR","23005","Hanover","Residential","Single Family Residence","3","1,817","2.0","2018","$362,819","$372,409","0","01/09/2019","New (never occupied)","Conventional","Corporate"
"4.0 mi","501","2009850","7787-09-4449","CLOSD","10987 Elmont Woods DR","23059","Hanover","Residential","Single Family Residence","4","2,678","2.1","2000","$364,500","$346,750","22","06/03/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.8 mi","501","1939279","7870-79-9094","CLOSD","13872 Stanley Park DR","23005","Hanover","Residential","Single Family Residence","3","1,822","2.0","2019","$364,949","$365,900","86","04/30/2020","New (never occupied)","Assumption","Corporate"
"1.4 mi","501","2004566","7880-74-5266","CLOSD","13352 Folly Trail PL","23005","Hanover","Residential","Single Family Residence","4","2,421","2.1","2013","$364,950","$365,000","11","04/15/2020","Resale (occupied at least once)","Conventional","Individuals"
"3.2 mi","501","2121218","7778-74-6150","CLOSD","11408 Haltonshire WAY","23059","Hanover","Residential","Single Family Residence","4","2,306","2.1","2007","$365,000","$375,000","4","09/02/2021","Resale (occupied at least once)","Conventional","Individuals"
"1.8 mi","501","2023418","7870-79-6433","CLOSD","11246 Ashland Park DR","23005","Hanover","Residential","Single Family Residence","3","1,830","2.0","2019","$365,000","$365,000","33","11/09/2020","Resale (occupied at least once)","VA New","Individuals"
"1.1 mi","501","2007597","7779-76-3764","CLOSD","12466 Side Saddle LN","23005","Hanover","Residential","Single Family Residence","3","2,158","3.0","2017","$365,000","$365,000","17","06/26/2020","Resale (occupied at least once)","Cash","Individuals"
"3.2 mi","501","2006587","7778-74-3458","CLOSD","11430 Rose Bowl DR","23059","Hanover","Residential","Single Family Residence","4","2,729","3.0","2006","$365,000","$365,000","6","04/30/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.8 mi","501","1840021","7871-80-8169","CLOSD","14053 Stanley Park DR","23005","Hanover","Residential","Single Family Residence","4","2,908","3.0","2015","$365,000","$365,000","81","04/08/2019","Resale (occupied at least once)","FHA New","Individuals"
"1.6 mi","501","1807516","7880-83-7975","CLOSD","10841 McCann PL","23005","Hanover","Residential","Single Family Residence","4","2,300","3.0","2018","$365,175","$381,535","0","07/26/2018","New (never occupied)","VA New","Corporate"
"3.2 mi","501","2125575","7778-74-5226","CLOSD","11419 Rose Bowl DR","23059","Hanover","Residential","Single Family Residence","4","2,171","2.1","2010","$369,000","$380,000","5","10/05/2021","Resale (occupied at least once)","Conventional","Individuals"
"1.3 mi","501","2020162","7870-42-4254","CLOSD","406 Thompson ST","23005","Hanover","Residential","Single Family Residence","3","2,056","2.0","2004","$369,000","$365,000","38","10/14/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.7 mi","501","1725692","7870-79-7237","CLOSD","11241 Ashland Park DR","23005","Hanover","Residential","Single Family Residence","3","1,836","2.0","2017","$369,000","$363,780","231","03/23/2018","New (never occupied)","Cash","Corporate"
"1.9 mi","501","1722443","to be determined","CLOSD","13382 Slayden CIR","23005","Hanover","Residential","Single Family Residence","4","2,820","2.1","2017","$369,021","$369,021","0","12/14/2017","New (never occupied)","Conventional","Corporate"
"1.4 mi","501","1810267","7880-82-1998","CLOSD","10832 Providence Woods LN","23005","Hanover","Residential","Single Family Residence","4","2,816","2.1","2016","$369,450","$362,950","70","07/19/2018","Resale (occupied at least once)","Conventional","Individuals"
"2.8 mi","501","2001532","7881-64-0595","CLOSD","10202 Hickory Hill RD","23005","Hanover","Residential","Single Family Residence","3","2,589","2.1","1999","$369,570","$365,000","20","03/16/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.7 mi","501","2016810","7870-89-5357","CLOSD","11216 Ashland Park DR","23005","Hanover","Residential","Single Family Residence","3","2,286","2.1","2014","$369,900","$365,900","40","08/18/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.6 mi","501","2117932","7880-84-9108","CLOSD","10317 Spencer Trail PL","23005","Hanover","Residential","Single Family Residence","4","2,112","2.1","2014","$369,950","$380,000","5","08/06/2021","Resale (occupied at least once)","Conventional","Individuals"
"1.9 mi","501","1923706","7880-87-6621","CLOSD","13262 Slayden CIR","23005","Hanover","Residential","Single Family Residence","4","2,532","2.1","2016","$369,950","$369,950","18","10/01/2019","Resale (occupied at least once)","VA New","Individuals"
"1.5 mi","501","1719229","7880-93-0140","CLOSD","10776 Providence Woods LN","23005","Hanover","Residential","Single Family Residence","3","2,746","2.1","2017","$369,990","$350,000","101","10/25/2017","New (never occupied)","Conventional","Corporate"
"0.5 mi","501","2006438","7870-92-3186","CLOSD","401 Calhoun ST","23005","Hanover","Residential","Single Family Residence","3","2,426","3.0","1949","$370,000","$370,000","56","08/03/2020","Resale (occupied at least once)","Conventional","Estate"
"4.1 mi","501","1935911","7759-97-6354","CLOSD","12357 Blanton RD","23005","Hanover","Residential","Single Family Residence","5","3,079","2.1","1979","$370,000","$375,000","11","12/23/2019","Resale (occupied at least once)","FHA New","Individuals"
"1.7 mi","501","2035243","7870355924","CLOSD","219 Thorncliff RD","23005","Hanover","Residential","Single Family Residence","3","2,140","2.1","2020","$370,400","$426,912","0","06/24/2021","New (never occupied)","Conventional","Corporate"
"1.8 mi","501","1705293","7870-79-2292","CLOSD","11261 Ashland Park DR","23005","Hanover","Residential","Single Family Residence","4","2,635","2.1","2017","$372,200","$372,200","268","03/07/2018","New (never occupied)","Conventional","Corporate"
"2.9 mi","501","2112644","7788-65-3846","CLOSD","10269 Willmark WAY Unit#EA","23005","Hanover","Residential","Townhouse","3","1,745","2.2","2021","$373,855","$374,960","37","11/30/2021","New (never occupied)","Conventional","Corporate"
"1.7 mi","501","2019922","Lot 49","CLOSD","Lot 49 Thorncliff RD","23005","Hanover","Residential","Single Family Residence","1","2,084","1.1","2020","$374,400","$619,829","0","06/01/2021","New (never occupied)","Conventional","Corporate"
"3.3 mi","501","2006309","7890-81-7759","CLOSD","9123 Colonnade CIR","23005","Hanover","Residential","Single Family Residence","4","2,542","2.1","2012","$374,900","$374,900","45","05/08/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.4 mi","501","1837357","7880-73-7984","CLOSD","10625 Providence Green DR","23005","Hanover","Residential","Single Family Residence","4","3,281","2.1","2015","$374,900","$374,900","72","02/19/2019","Resale (occupied at least once)","Conventional","Individuals"
"1.5 mi","501","1836882","7880-83-6282","CLOSD","13612 Providence Trail CIR","23005","Hanover","Residential","Single Family Residence","4","3,314","2.1","2015","$374,900","$365,000","55","02/08/2019","Resale (occupied at least once)","Conventional","Individuals"
